58
06001 OAK
06003 SMF
06005 SMF
06007 SMF
06009 SMF
06011 SMF 
06013 OAK
06015 SFO
06017 SMF
06019 FAT 
06021 SMF
06023 SFO
06025 SAN
06027 LAX-BUR
06029 LAX-BUR 
06031 FAT
06033 SMF
06035 SMF
06037 LAX-BUR
06039 FAT
06041 OAK
06043 FAT
06045 SMF
06047 SJC
06049 SMF
06051 FAT
06053 SJC
06055 OAK
06057 SMF
06059 SNA-LGB
06061 SMF
06063 SMF 
06065 ONT
06067 SMF
06069 SJC
06071 ONT
06073 SAN
06075 SFO
06077 SMF
06079 SBA
06081 SFO
06083 SBA
06085 SJC
06087 SJC
06089 SMF
06091 SMF
06093 SMF
06095 SMF
06097 OAK
06099 OAK
06101 SMF
06103 SMF
06105 SMF
06107 PSP
06109 OAK
06111 LAX-BUR
06113 SMF
06115 SMF
